ORDEN,FECHA,CLIENTE,ART,COLOR,METROS ,GXM,MAQUINA,OBSERVACIONES,Unnamed: 9,Unnamed: 10
130.0,2022-05-25 00:00:00,SADASA,POL 900,COYOTE,372.0,0.392,JET 1,TEÑIDO POLIESTER EN JET 1,,
131.0,2022-05-25 00:00:00,SADASA,POL 900,COYOTE,372.0,0.392,JET 1,TEÑIDO POLIESTER EN JET 1,,
132.0,2022-05-26 00:00:00,PETRINI,ALG 100%,TURQUESA,241.0,0.394,JIGGER 2,TEÑIDO ALGODÓN EN JIGGER,,
133.0,2022-05-26 00:00:00,HILANTEJ,ALG 100%,VIOLETA,460.0,0.54,JIGGER 2,TEÑIDO ALGODÓN EN JIGGER,,
134.0,2022-05-26 00:00:00,DETOMASO,TRACKER,ALLO LIMON,716.0,0.21,JET 1,TEÑIDO POLIESTER EN JET 1,,
135.0,2022-05-27 00:00:00,DETOMASO,SPUM,NEGRO,453.0,0.302,JET 1,TEÑIDO POLIESTER EN JET 1,,
136.0,2022-05-27 00:00:00,TOBATEL,TRACKER,MARINO,600.0,0.2,JET 1,TEÑIDO POLIESTER EN JET 1,,
137.0,2022-05-27 00:00:00,TOBATEL,TRACKER,MARINO,600.0,0.2,JET 1,TEÑIDO POLIESTER EN JET 1,,
138.0,2022-05-30 00:00:00,JUAN CARLOS,RIP STOP,MNO POLICIAL,542.0,0.28,JET 1,TEÑIDO POLIESTER EN JET 1,,
139.0,2022-05-30 00:00:00,TOBATEL ,CIRCUS,FRANCIA,1000.0,0.14,JET 1,TEÑIDO POLIESTER EN JET 1,,
140.0,2022-05-31 00:00:00,TOBATEL,RIP STOP,GRIS TOPO,433.0,0.315,JET 1,TEÑIDO POLIESTER EN JET 1,,
141.0,2022-05-31 00:00:00,TOBATEL,RIP STOP,GRIS TOPO,433.0,0.315,JET 1,TEÑIDO POLIESTER EN JET 1,,
142.0,2022-05-31 00:00:00,TOBATEL,RIP STOP,GRIS TOPO,433.0,0.315,JET 1,TEÑIDO POLIESTER EN JET 1,,
143.0,2022-05-31 00:00:00,POLIZZOTTO,F BOLSILLO ,NEGRO,649.0,0.16,JET 1,TEÑIDO SIMULTANEO POLIESTER/ALGODÓN,,
144.0,2022-05-31 00:00:00,POLIZZOTTO,F BOLSILLO ,NEGRO,649.0,0.16,JET 1,TEÑIDO SIMULTANEO POLIESTER/ALGODÓN,,
145.0,2022-06-01 00:00:00,TOBATEL ,RIP STOP ,VERDE MILITSR,705.0,0.315,JIGGER 2,TEÑIDO ALGODÓN EN JIGGER,,
146.0,2022-06-01 00:00:00,TOBATEL,RIP STOP,MNO NOCHE,622.0,0.315,JIGGER 2,TEÑIDO ALGODÓN EN JIGGER,,
147.0,2022-06-01 00:00:00,POLIZZOTTO,TRACKER,NEGRO,275.0,0.37,JET 1,TEÑIDO POLIESTER EN JET 1,,
148.0,2022-06-01 00:00:00,POLIZZOTTO,TRACKER,NEGRO,275.0,0.37,JET 1,TEÑIDO POLIESTER EN JET 1,,
149.0,2022-06-02 00:00:00,TELARES D SUR,TRACKER,NEGRO,327.0,0.435,JET 1,TEÑIDO POLIESTER EN JET 1,,
150.0,2022-06-02 00:00:00,TELARES D SUR,TRACKER,NEGRO,327.0,0.435,JET 1,TEÑIDO POLIESTER EN JET 1,,
151.0,2022-06-02 00:00:00,TELARES D SUR,TRACKER,NEGRO,327.0,0.435,JET 1,TEÑIDO POLIESTER EN JET 1,,
152.0,2022-06-02 00:00:00,TELARES D SUR,TRACKER,MARINO S/M,327.0,0.435,JET 1,TEÑIDO POLIESTER EN JET 1,,
153.0,2022-06-02 00:00:00,TELARES D SUR,TRACKER,MARINO S/M,327.0,0.435,JET 1,TEÑIDO POLIESTER EN JET 1,,
154.0,2022-06-02 00:00:00,TELARES D SUR,TRACKER,MARINO S/M,327.0,0.435,JET 1,TEÑIDO POLIESTER EN JET 1,,
155.0,2022-06-06 00:00:00,TELARES D SUR,TRACKER,VDE MILITAR,332.0,0.435,JET 1,TEÑIDO POLIESTER EN JET 1,,
156.0,2022-06-06 00:00:00,TELARES D SUR,TRACKER,VDE MILITAR,332.0,0.435,JET 1,TEÑIDO POLIESTER EN JET 1,,
157.0,2022-06-06 00:00:00,TELARES D SUR,TRACKR,VDE MILITAR,332.0,0.435,JET 1,TEÑIDO POLIESTER EN JET 1,,
158.0,2022-06-07 00:00:00,DETOMASO,BATISTA,ARENA SCOUT,1060.0,0.157,JIGGER 1,TEÑIDO ALG/POL EN JIGGER,,
159.0,2022-06-07 00:00:00,TELARES  D SUR,TRACKER,VDE MILITAR,336.0,0.435,JET 1,TEÑIDO POLIESTER EN JET 1,,
160.0,2022-06-07 00:00:00,TELARES D SUR,TRACKER,VDE MILITAR,336.0,0.435,JET 1,TEÑIDO POLIESTER EN JET 1,,
161.0,2022-06-07 00:00:00,TELARES D SUR,TRACKER,VDE MILITAR,336.0,0.435,JET 1,TEÑIDO POLIESTER EN JET 1,,
162.0,2022-06-07 00:00:00,DETOMASO,GROSS,VDE COLEGIAL,888.0,0.172,JET 1,TEÑIDO POLIESTER EN JET 1,,
163.0,2022-06-08 00:00:00,JUAN CARLOS,POLIESTER,VERDE BILLAR,560.0,0.281,JET 1,TEÑIDO POLIESTER EN JET 1,,
164.0,2022-06-09 00:00:00,SOGHOMONT,POLIESTER,VERDE MILITAR,553.0,0.22,JET 1,TEÑIDO POLIESTER EN JET 1,,
165.0,2022-06-09 00:00:00,TESOTEX,POLIESTER,VDE BOTELLA,570.0,0.25,JET 1,TEÑIDO POLIESTER EN JET 1,,
166.0,2022-06-09 00:00:00,SOGHOMONT,POLIESTER,GRIS ACERO,553.0,0.22,JET 1,TEÑIDO POLIESTER EN JET 1,,
167.0,2022-06-09 00:00:00,TESOTEX,POLIESTER,FRANCIA,570.0,0.25,JET 1,TEÑIDO POLIESTER EN JET 1,,
168.0,2022-06-10 00:00:00,TESOTEX,POLIESTER,VDE BOTELLA,570.0,0.25,JET 1,TEÑIDO REPROCESO EN JET 1,,
169.0,2022-06-10 00:00:00,TOBATEL,TRACKER,VDE OCASA,760.0,0.2,JET 1,TEÑIDO POLIESTER EN JET 1,,
170.0,2022-06-13 00:00:00,TOBATEL,CIRCUS,ROJO,1001.0,0.14,JET 1,TEÑIDO POLIESTER EN JET 1,,
171.0,2022-06-13 00:00:00,TELARES D SUR,TRACKER,MARINO,326.0,0.435,JET 1,TEÑIDO POLIESTER EN JET 1,,
172.0,2022-06-13 00:00:00,TELARES D SUR,TRACKER,MARINO,326.0,0.435,JET 1,TEÑIDO POLIESTER EN JET 1,,
173.0,2022-06-13 00:00:00,TELARES D SUR,TRACKER ,MARINO,326.0,0.435, JET 1,TEÑIDO POLIESTER EN JET 1,,
174.0,2022-06-14 00:00:00,SADASA,POL900,COYOTE,444.0,0.392, JET 1,TEÑIDO POLIESTER EN JET 1,,
175.0,2022-06-14 00:00:00,SADASA,POL900,COYOTE,444.0,0.392,JET 1,TEÑIDO POLIESTER EN JET 1,,
176.0,2022-06-14 00:00:00,SADASA,POL900,COYOTE,400.0,0.392,JET 1,TEÑIDO POLIESTER EN JET 1,,
177.0,2022-06-14 00:00:00,SADASA,POL900,COYOTE,400.0,0.392,JET 1,TEÑIDO POLIESTER EN JET 1,,
178.0,2022-06-15 00:00:00,NOVADENIM,ALG/POL,BEIGE,698.0,0.2,JIGGER,TEÑIDO ALG/POL EN JIGGER,,
179.0,2022-06-15 00:00:00,NOVADENIM,ALG/POL,BEIGE,716.0,0.2,JIGGER,TEÑIDO ALG/POL EN JIGGER,,
180.0,2022-06-15 00:00:00,UMBRIEL,POLIESTER,VDE CIRUGIA,777.0,0.216,JET 1,TEÑIDO POLIESTER EN JET 1,,
181.0,2022-06-16 00:00:00,UMBRIEL,POLIESTER,VDE CIRUGIA,777.0,0.216,JET 1,TEÑIDO POLIESTER EN JET 1,,
182.0,2022-06-16 00:00:00,TELARES D SUR,TRACKER,ALLO LIMON,339.0,0.435,JET 1,TEÑIDO POLIESTER EN JET 1,,
183.0,2022-06-16 00:00:00,TELARES D SUR,TRACKER,ALLO LIMON,339.0,0.435,JET 1,TEÑIDO POLIESTER EN JET 1,,
